2026-05-27 08:51:15.643 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 08:51:23.324 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 08:51:28.330 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 08:51:37.248 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 08:51:42.254 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 08:52:27.297 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 08:52:36.845 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 08:52:41.917 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 08:52:49.678 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 08:52:54.682 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 08:53:04.024 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 08:53:09.030 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 08:53:54.066 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 08:54:04.652 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 08:54:09.683 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 08:54:16.438 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 08:54:21.443 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 08:54:29.584 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 08:54:34.590 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 08:55:19.635 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 08:55:28.645 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 08:55:33.658 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 08:55:40.590 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 08:55:45.596 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 08:55:53.473 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 08:55:58.479 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 08:56:43.513 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 08:56:56.239 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 08:57:01.323 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 08:57:08.375 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 08:57:13.380 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 08:57:22.186 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 08:57:27.191 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 08:58:12.214 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 08:58:22.842 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 08:58:27.860 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 08:58:34.259 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 08:58:39.265 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 08:58:46.775 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 08:58:51.780 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 08:59:36.812 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 08:59:46.524 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 08:59:51.547 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 08:59:57.670 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 09:00:02.676 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 09:00:12.689 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 09:00:17.695 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 09:01:02.739 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 09:01:12.671 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 09:01:17.702 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 09:01:24.916 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 09:01:29.922 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 09:01:39.184 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 09:01:44.189 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 09:02:29.221 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 09:02:38.651 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 09:02:43.684 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 09:02:50.146 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 09:02:55.151 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 09:03:04.181 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 09:03:09.187 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 09:03:54.218 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 09:04:05.927 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 09:04:10.999 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 09:04:17.502 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 09:04:22.503 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 09:04:32.277 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 09:04:37.283 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 09:05:22.318 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 09:05:33.731 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 09:05:38.800 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 09:05:44.675 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 09:05:49.677 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 09:05:57.773 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 09:06:02.779 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 09:06:47.824 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 09:06:58.846 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 09:07:03.915 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 09:07:10.336 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 09:07:15.341 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 09:07:23.967 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 09:07:28.972 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 09:08:14.008 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 09:08:26.303 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 09:08:31.361 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 09:08:37.303 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 09:08:42.309 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 09:08:50.792 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 09:08:55.797 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 09:09:40.833 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 09:09:50.174 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 09:09:55.192 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
2026-05-27 09:10:01.089 | INFO     | app.parsers.base:log_status:23 - [kufar.by] Parsed 0 ads
2026-05-27 09:10:06.095 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: onliner.by
2026-05-27 09:10:14.585 | INFO     | app.parsers.base:log_status:23 - [onliner.by] Parsed 0 ads
2026-05-27 09:10:19.590 | INFO     | app.scheduler.worker:run_scheduler:74 - Sleeping for 45 seconds...
2026-05-27 09:11:04.621 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: av.by
2026-05-27 09:11:17.107 | INFO     | app.parsers.base:log_status:23 - [av.by] Parsed 10 ads
2026-05-27 09:11:22.124 | INFO     | app.scheduler.worker:run_scheduler:63 - Running parser: kufar.by
